boID,boName,boUEN,boBusinessUnitID,boBusinessUnitName,boBankCode,segment,purpose,date,callRequestReceivedDateTime,callResponseReceivedDateTime,applicantBankName,applicantBankCode,boTransactionRefNo,requestType,serviceName,status
BOSER3194D01SER,SERAYA ENERGY PTE LTD,200103194D,BU01,,DBSSSGS0XXX,Retail,,16-12-2021,16-12-2021 09:25:12,16-12-2021 09:25:13,DBS Bank Ltd,DBSSSGS0XXX,BOSER3194D01SER21121609222545803672,Creation,eDDA Creation Response,eDDA Setup Success
BOSER3194D01SER,SERAYA ENERGY PTE LTD,200103194D,BU01,,DBSSSGS0XXX,Retail,,16-12-2021,16-12-2021 10:04:42,16-12-2021 10:04:44,DBS Bank Ltd,DBSSSGS0XXX,BOSER3194D01SER21121610012182258995,Creation,eDDA Creation Response,eDDA Setup Success
BOSER3194D01SER,SERAYA ENERGY PTE LTD,200103194D,BU01,,DBSSSGS0XXX,Retail,,16-12-2021,16-12-2021 10:05:33,16-12-2021 10:05:34,DBS Bank Ltd,DBSSSGS0XXX,BOSER3194D01SER21121610043907737533,Creation,eDDA Creation Response,eDDA Setup Success
BOSER3194D01SER,SERAYA ENERGY PTE LTD,200103194D,BU01,,DBSSSGS0XXX,Retail,,16-12-2021,16-12-2021 10:36:09,16-12-2021 10:36:10,DBS Bank Ltd,DBSSSGS0XXX,BOSER3194D01SER21121610344425202547,Creation,eDDA Creation Response,eDDA Setup Success
BOSER3194D01SER,SERAYA ENERGY PTE LTD,200103194D,BU01,,DBSSSGS0XXX,Retail,,16-12-2021,16-12-2021 11:53:18,16-12-2021 11:53:19,DBS Bank Ltd,DBSSSGS0XXX,BOSER3194D01SER21121611523521279634,Creation,eDDA Creation Response,eDDA Setup Success
BOSER3194D01SER,SERAYA ENERGY PTE LTD,200103194D,BU01,,DBSSSGS0XXX,Retail,,16-12-2021,16-12-2021 12:06:30,16-12-2021 12:06:33,DBS Bank Ltd,DBSSSGS0XXX,BOSER3194D01SER21121612054511067635,Creation,eDDA Creation Response,eDDA Setup Success
BOSER3194D01SER,SERAYA ENERGY PTE LTD,200103194D,BU01,,DBSSSGS0XXX,Retail,,16-12-2021,16-12-2021 12:32:03,16-12-2021 12:32:07,DBS Bank Ltd,DBSSSGS0XXX,BOSER3194D01SER21121612312093712416,Creation,eDDA Creation Response,eDDA Setup Success
BOSER3194D01SER,SERAYA ENERGY PTE LTD,200103194D,BU01,,DBSSSGS0XXX,Retail,,16-12-2021,16-12-2021 13:51:54,16-12-2021 13:51:57,DBS Bank Ltd,DBSSSGS0XXX,BOSER3194D01SER21121613510932100779,Creation,eDDA Creation Response,eDDA Setup Success
BOSER3194D01SER,SERAYA ENERGY PTE LTD,200103194D,BU01,,DBSSSGS0XXX,Retail,,16-12-2021,16-12-2021 14:42:40,16-12-2021 14:42:43,DBS Bank Ltd,DBSSSGS0XXX,BOSER3194D01SER21121614415682280272,Creation,eDDA Creation Response,eDDA Setup Success
BOSER3194D01SER,SERAYA ENERGY PTE LTD,200103194D,BU01,,DBSSSGS0XXX,Retail,,16-12-2021,16-12-2021 14:56:14,16-12-2021 14:56:16,DBS Bank Ltd,DBSSSGS0XXX,BOSER3194D01SER21121614553131967965,Creation,eDDA Creation Response,eDDA Setup Success
BOSER3194D01SER,SERAYA ENERGY PTE LTD,200103194D,BU01,,DBSSSGS0XXX,Retail,,16-12-2021,16-12-2021 15:07:02,16-12-2021 15:07:04,DBS Bank Ltd,DBSSSGS0XXX,BOSER3194D01SER21121615061906705340,Creation,eDDA Creation Response,eDDA Setup Success
BOSER3194D01SER,SERAYA ENERGY PTE LTD,200103194D,BU01,,DBSSSGS0XXX,Retail,,16-12-2021,16-12-2021 15:49:10,16-12-2021 15:49:11,DBS Bank Ltd,DBSSSGS0XXX,BOSER3194D01SER21121615481330557306,Creation,eDDA Creation Response,eDDA Setup Success
BOSER3194D01SER,SERAYA ENERGY PTE LTD,200103194D,BU01,,DBSSSGS0XXX,Retail,,16-12-2021,16-12-2021 18:47:39,16-12-2021 18:47:42,DBS Bank Ltd,DBSSSGS0XXX,BOSER3194D01SER21121618463456917299,Creation,eDDA Creation Response,eDDA Setup Success
BOSER3194D01SER,SERAYA ENERGY PTE LTD,200103194D,BU01,,DBSSSGS0XXX,Retail,,16-12-2021,16-12-2021 09:17:25,16-12-2021 09:17:26,DBS Bank Ltd,DBSSSGS0XXX,BOSER3194D01SER21121609152821597304,Creation,eDDA Creation Response,EDDA_CREATE_RESPONSE-Error:70
